# NGE V1.26 — curated reception tiers, TRANCHE 1 (design §4b Layer 1)
# Authored from real-world critical/player consensus at design time (the
# "Metacritic answer" without the scraper — decision 2026-07-19).
# Match rule (engine): normalised_title exact match, OR prefix-match where the
# catalog row continues with ' •' / ' /' / ':' denorm tails OR a regional tag
# tail (' na', ' pal', ' jp', ' eu' + separators — e.g. 'mario kart: super
# circuit na, pal • mario kart advance jp' matches 'mario kart: super circuit');
# platform
# 'any' matches all platforms, else must equal dbo.platforms.name exactly.
# Tiers → score anchors: masterpiece 4.7 · great 4.3 · good 3.8 · mixed 3.0 ·
# poor 2.2 · disaster 1.4 (before archetype bias, era morale, noise).
# Unmatched rows are logged, not fatal. Target ~3-5K rows by final tranche.
title	platform	tier
imagine: babyz	any	poor
deca sports sports islandpal	any	poor
monster hunter freedom unite	any	great
persona 3	any	great
persona 4	any	masterpiece
dragon quest viii: journey of the cursed king	any	great
ni no kuni: wrath of the white witch	any	great
xenoblade chronicles	any	masterpiece
the witcher 2: assassins of kings	any	great
the witcher 3: wild hunt	any	masterpiece
dragon age: origins	any	great
dragon age ii	any	mixed
minecraft	any	masterpiece
terraria	any	great
journey	any	masterpiece
limbo	any	great
braid	any	great
fez	any	great
super meat boy	any	great
spelunky	any	great
shovel knight	any	great
undertale	any	masterpiece
stardew valley	any	masterpiece
rocket league	any	great
destiny	any	mixed
watch dogs	any	mixed
no man's sky	any	poor
mighty no. 9	any	poor
street fighter ii	any	masterpiece
street fighter ii turbo	any	masterpiece
super street fighter iv	any	great
street fighter x tekken	any	mixed
mortal kombat	Genesis	great
mortal kombat ii	any	great
mortal kombat: armageddon	any	mixed
tekken 3	any	masterpiece
tekken 5	any	great
marvel vs. capcom 2	any	great
killer instinct	any	good
primal rage	any	mixed
shaq fu	any	disaster
fight club	any	disaster
wwf no mercy	any	great
wcw/nwo revenge	any	good
memory manor	any	good
situation critical	any	good
