country_code	city_name	street_name	osm_count
GB	Birmingham	Lichfield Road	53
GB	Birmingham	Kingsbury Road	50
GB	Birmingham	Meadway	50
GB	Birmingham	Alcester Road South	49
GB	Birmingham	Bordesley Green East	45
GB	Birmingham	Station Road	44
GB	Birmingham	Yardley Wood Road	44
GB	Birmingham	Birmingham Road	42
GB	Birmingham	Hagley Road West	42
GB	Birmingham	Bristol Road South	41
GB	Birmingham	College Road	40
GB	Birmingham	Aldridge Road	38
GB	Birmingham	Holly Lane	37
GB	Birmingham	Priory Road	37
GB	Birmingham	Harborne Lane	34
GB	Birmingham	Kingstanding Road	33
GB	Birmingham	Alcester Road	33
GB	Birmingham	Bournville Lane	32
GB	Birmingham	Moor Street Queensway	31
GB	Birmingham	Aston Expressway	30
GB	Birmingham	Hagley Road	30
GB	Birmingham	Thimblemill Road	30
GB	Birmingham	Highfield Road	30
GB	Birmingham	Hobs Moat Road	29
GB	Birmingham	Bradford Street	29
GB	Birmingham	Eachelhurst Road	27
GB	Birmingham	Bearwood Road	27
GB	Birmingham	New John Street West	27
GB	Birmingham	Grange Road	27
GB	Birmingham	Shenley Lane	27
GB	Birmingham	Fox Hollies Road	26
GB	Birmingham	Belgrave Middleway	26
GB	Birmingham	New Town Row	25
GB	Birmingham	Lode Lane	25
GB	Birmingham	Chester Road North	24
GB	Birmingham	Victoria Road	24
GB	Birmingham	Fort Parkway	23
GB	Birmingham	Edgbaston Road	23
GB	Birmingham	Stockfield Road	23
GB	Birmingham	Shirley Road	23
GB	Birmingham	School Road	23
GB	Birmingham	Long Nuke Road	23
GB	Birmingham	Roebuck Lane	23
GB	Birmingham	Kings Road	22
GB	Birmingham	Wood Lane	22
GB	Birmingham	Sir Herbert Austin Way	22
GB	Birmingham	Beeches Road	22
GB	Birmingham	Heartlands Parkway	21
GB	Birmingham	Moseley Road	21
GB	Birmingham	Ladywood Middleway	21
GB	Birmingham	Harborne Road	21
GB	Birmingham	Hamstead Road	21
GB	Birmingham	Golden Hillock Road	21
GB	Birmingham	Park Street	21
GB	Birmingham	Frederick Road	20
GB	Birmingham	Witton Lodge Road	20
GB	Birmingham	Richmond Road	20
GB	Birmingham	Brook Lane	20
GB	Birmingham	Wellington Road	20
GB	Birmingham	Birchfield Road	20
GB	Birmingham	George Road	19
GB	Birmingham	Icknield Street	19
GB	Birmingham	Pershore Road South	19
GB	Birmingham	Broad Street	19
GB	Birmingham	Washwood Heath Road	19
GB	Birmingham	Cuckoo Road	19
GB	Birmingham	Robin Hood Lane	19
GB	Birmingham	West Bromwich Interchange	19
GB	Birmingham	Vicarage Road	19
GB	Birmingham	Windmill Lane	18
GB	Birmingham	Small Heath Highway	18
GB	Birmingham	Wheelwright Road	18
GB	Birmingham	Lyon Queensway	18
GB	Birmingham	Jockey Road	17
GB	Birmingham	Hill Street	17
GB	Birmingham	Linden Road	17
GB	Birmingham	Gospel Lane	17
GB	Birmingham	Somerset Road	17
GB	Birmingham	Streetsbrook Road	17
GB	Birmingham	Rocky Lane	17
GB	Birmingham	Park Lane	17
GB	Birmingham	Olton Boulevard East	17
GB	Birmingham	Edward Road	17
GB	Birmingham	Smallbrook Queensway	17
GB	Birmingham	Green Lane	17
GB	Birmingham	Kenrick Way	17
GB	Birmingham	New Fosse Way	17
GB	Birmingham	Wylde Green Road	16
GB	Birmingham	Walmley Ash Road	16
GB	Glasgow	Great Western Road	131
GB	Glasgow	Maryhill Road	111
GB	Glasgow	Main Street	94
GB	Glasgow	Glasgow Road	84
GB	Glasgow	King's Inch Drive	65
GB	Glasgow	Nitshill Road	61
GB	Glasgow	Kirkintilloch Road	52
GB	Glasgow	Dumbreck Road	52
GB	Glasgow	Govan Road	50
GB	Glasgow	Cumbernauld Road	48
GB	Glasgow	Crow Road	46
GB	Glasgow	Paisley Road West	45
GB	Glasgow	Hamilton Road	44
GB	Glasgow	Dumbarton Road	40
GB	Glasgow	Garscube Road	36
GB	Glasgow	Balmore Road	35
GB	Glasgow	Barrhead Road	35
GB	Glasgow	Springburn Road	34
GB	Glasgow	Edinburgh Road	34
GB	Glasgow	Moss Road	32
GB	Glasgow	Clydeside Expressway	31
GB	Glasgow	Argyle Street	31
GB	Glasgow	London Road	31
GB	Glasgow	Anniesland Road	31
GB	Glasgow	Carmunnock Road	31
GB	Glasgow	Duntreath Avenue	31
GB	Glasgow	Milngavie Road	30
GB	Glasgow	Crosshill Road	30
GB	Glasgow	Clarkston Road	29
GB	Glasgow	Switchback Road	28
GB	Glasgow	Robroyston Road	28
GB	Glasgow	Pollokshaws Road	28
GB	Glasgow	Helen Street	27
GB	Glasgow	Bearsden Road	26
GB	Glasgow	Alderman Road	26
GB	Glasgow	Corkerhill Road	25
GB	Glasgow	Station Road	24
GB	Glasgow	Berryknowes Road	24
GB	Glasgow	East Kilbride Road	24
GB	Glasgow	Initiative Road	24
GB	Glasgow	Gallowgate	23
GB	Glasgow	Stepps Road	23
GB	Glasgow	Aikenhead Road	23
GB	Glasgow	Castle Street	22
GB	Glasgow	Queen Margaret Drive	22
GB	Glasgow	St Vincent Street	22
GB	Glasgow	Greenlees Road	22
GB	Glasgow	Allerdyce Road	21
GB	Glasgow	Cathcart Road	21
GB	Glasgow	Mill Street	21
GB	Glasgow	Clyde Gateway	21
GB	Glasgow	Castlebank Street	21
GB	Glasgow	Busby Road	21
GB	Glasgow	Duntocher Road	21
GB	Glasgow	Dobbie's Loan	20
GB	Glasgow	Cleveden Road	20
GB	Glasgow	Shettleston Road	20
GB	Glasgow	Arkleston Road	20
GB	Glasgow	Douglas Street	20
GB	Glasgow	Buchanan Drive	20
GB	Glasgow	Westerhouse Road	20
GB	Glasgow	Grampian Way	19
GB	Glasgow	Mosspark Boulevard	19
GB	Glasgow	Cathedral Street	19
GB	Glasgow	Brockburn Road	19
GB	Glasgow	Braidcraft Road	19
GB	Glasgow	Wallacewell Road	19
GB	Glasgow	Renfrew Road	18
GB	Glasgow	Craigdhu Road	18
GB	Glasgow	Beith Street	18
GB	Glasgow	Duke Street	18
GB	Glasgow	Royston Road	18
GB	Glasgow	Westburn Road	18
GB	Glasgow	Hillington Road	18
GB	Glasgow	King's Inch Road	18
GB	Glasgow	Auchinlea Way	18
GB	Glasgow	Westerhill Road	18
GB	Glasgow	Livingstone Street	18
GB	Glasgow	Nithsdale Road	17
GB	Glasgow	Old Castle Road	17
GB	Glasgow	Stobcross Road	17
GB	Glasgow	Inchinnan Road	17
GB	Glasgow	Stewarton Road	17
GB	Glasgow	Linthaugh Road	17
GB	Glasgow	Cambuslang Road	17
GB	Glasgow	Drymen Road	16
GB	Glasgow	Braidholm Road	16
GB	Glasgow	Gartloch Road	16
GB	Glasgow	Paisley Road	16
GB	Glasgow	Montrose Street	16
GB	Glasgow	Rouken Glen Road	16
GB	Glasgow	New Rutherglen Road	16
GB	Glasgow	Whitacres Road	16
GB	Glasgow	Sandyhills Road	16
GB	Glasgow	Carmyle Avenue	16
GB	Glasgow	Dewar Road	16
GB	Glasgow	Broomielaw	16
GB	Glasgow	Park Road	15
GB	Glasgow	Mosspark Drive	15
GB	Glasgow	Shields Road	15
GB	Manchester	Chester Road	194
GB	Manchester	Manchester Road	132
GB	Manchester	Kingsway	111
GB	Manchester	Stockport Road	101
GB	Manchester	Hyde Road	99
GB	Manchester	Bury New Road	92
GB	Manchester	Mancunian Way	85
GB	Manchester	Eccles New Road	85
GB	Manchester	Trinity Way	84
GB	Manchester	Wilmslow Road	80
GB	Manchester	Rochdale Road	77
GB	Manchester	Liverpool Road	73
GB	Manchester	Trafford Road	71
GB	Manchester	Princess Road	70
GB	Manchester	Oldham Road	69
GB	Manchester	Barlow Moor Road	67
GB	Manchester	Barton Road	67
GB	Manchester	Regent Road	61
GB	Manchester	Alan Turing Way	59
GB	Manchester	Ashton Old Road	53
GB	Manchester	Chapel Street	51
GB	Manchester	Edge Lane	51
GB	Manchester	Pottery Lane	51
GB	Manchester	Broad Street	50
GB	Manchester	Altrincham Road	46
GB	Manchester	Ashton New Road	46
GB	Manchester	Water Street	45
GB	Manchester	Parkway	45
GB	Manchester	Wilbraham Road	44
GB	Manchester	Didsbury Road	44
GB	Manchester	Worsley Road	43
GB	Manchester	Broadway	42
GB	Manchester	The Quays	42
GB	Manchester	Gilda Brook Road	41
GB	Manchester	Bolton Road	40
GB	Manchester	East Lancashire Road	40
GB	Manchester	Stretford Road	39
GB	Manchester	Barton Dock Road	38
GB	Manchester	Oxford Road	37
GB	Manchester	Talbot Road	37
GB	Manchester	Ordsall Lane	37
GB	Manchester	Cheetham Hill Road	36
GB	Manchester	Oldfield Road	35
GB	Manchester	Great Ancoats Street	34
GB	Manchester	Ashton Road	34
GB	Manchester	Cromwell Road	33
GB	Manchester	Queens Road	33
GB	Manchester	Crescent	32
GB	Manchester	Princess Street	32
GB	Manchester	Wellington Road North	32
GB	Manchester	Station Road	31
GB	Manchester	Trafford Wharf Road	30
GB	Manchester	St. Marys Way	30
GB	Manchester	Hulme Hall Lane	30
GB	Manchester	Audenshaw Road	30
GB	Manchester	Mauldeth Road West	29
GB	Manchester	Chorley Road	29
GB	Manchester	Bury Old Road	28
GB	Manchester	Victoria Avenue	28
GB	Manchester	Wharfside Way	27
GB	Manchester	Edgeley Road	27
GB	Manchester	Chorlton Road	27
GB	Manchester	Middleton Road	27
GB	Manchester	Village Way	27
GB	Manchester	Park Road	26
GB	Manchester	Eccles Old Road	26
GB	Manchester	Liverpool Street	26
GB	Manchester	Agecroft Road	25
GB	Manchester	Fairfield Street	25
GB	Manchester	Sackville Street	25
GB	Manchester	Piccadilly	24
GB	Manchester	King Street West	24
GB	Manchester	Cross Lane	24
GB	Manchester	Upper Brook Street	23
GB	Manchester	Deansgate	23
GB	Manchester	Princess Parkway	23
GB	Manchester	Wythenshawe Road	23
GB	Manchester	Burnage Lane	23
GB	Manchester	Hampson Street	23
GB	Manchester	Salford Western Gateway	23
GB	Manchester	Green Lane	22
GB	Manchester	Palatine Road	22
GB	Manchester	Centenary Way	22
GB	Manchester	Brook Street	22
GB	Manchester	South Langworthy Road	22
GB	Manchester	Grosvenor Street	21
GB	Manchester	Moorside Road	21
GB	Manchester	Old Hall Road	21
GB	Manchester	Kings Road	21
GB	Manchester	Plymouth Grove	21
GB	Manchester	Edward Street	21
GB	Manchester	Mosley Road	21
GB	Manchester	East Ordsall Lane	21
GB	Manchester	Cross Street	20
GB	Manchester	Stretford-Eccles By-Pass	20
GB	Manchester	Travis Brow	20
GB	Manchester	Castle Street	20
GB	Manchester	Marsland Road	19
GB	Manchester	Mill Lane	19
GB	Manchester	Moseley Road	19
GB	Sheffield	Penistone Road	95
GB	Sheffield	Sheffield Road	92
GB	Sheffield	Chesterfield Road	77
GB	Sheffield	Meadowhall Way	75
GB	Sheffield	Sheffield Parkway	67
GB	Sheffield	Greenland Road	63
GB	Sheffield	Ridgeway Road	54
GB	Sheffield	Retford Road	53
GB	Sheffield	Meadowhall Road	52
GB	Sheffield	Main Road	52
GB	Sheffield	Prince of Wales Road	49
GB	Sheffield	Europa Link	48
GB	Sheffield	Attercliffe Common	47
GB	Sheffield	Abbeydale Road	45
GB	Sheffield	Gleadless Road	45
GB	Sheffield	Eckington Way	39
GB	Sheffield	Shepcote Lane	39
GB	Sheffield	Halifax Road	38
GB	Sheffield	Centenary Way	36
GB	Sheffield	Herries Road	35
GB	Sheffield	London Road	34
GB	Sheffield	Brightside Lane	34
GB	Sheffield	Abbey Lane	34
GB	Sheffield	Rotherham Gateway	33
GB	Sheffield	Meadowhead	33
GB	Sheffield	Barnsley Road	33
GB	Sheffield	Abbeydale Road South	33
GB	Sheffield	Shalesmoor	32
GB	Sheffield	High Street	32
GB	Sheffield	Handsworth Road	32
GB	Sheffield	Savile Street	31
GB	Sheffield	Queens Road	31
GB	Sheffield	White Lane	31
GB	Sheffield	Derek Dooley Way	30
GB	Sheffield	Ecclesall Road	29
GB	Sheffield	Mosborough Parkway	28
GB	Sheffield	Attercliffe Road	28
GB	Sheffield	Main Street	28
GB	Sheffield	Glossop Road	27
GB	Sheffield	Shoreham Street	26
GB	Sheffield	Moore Street	25
GB	Sheffield	Waterthorpe Greenway	25
GB	Sheffield	Ecclesall Road South	25
GB	Sheffield	Lowedges Road	25
GB	Sheffield	Langsett Road	24
GB	Sheffield	Penistone Road North	23
GB	Sheffield	Corporation Street	23
GB	Sheffield	Norton Avenue	22
GB	Sheffield	City Road	22
GB	Sheffield	Broad Lane	22
GB	Sheffield	Stannington Road	21
GB	Sheffield	Wordsworth Avenue	21
GB	Sheffield	Bawtry Road	21
GB	Sheffield	Hurlfield Road	20
GB	Sheffield	Brook Hill	20
GB	Sheffield	Eyre Street	20
GB	Sheffield	Bridge Street	20
GB	Sheffield	Station Road	20
GB	Sheffield	Baslow Road	20
GB	Sheffield	Deerlands Avenue	20
GB	Sheffield	Moss Way	20
GB	Sheffield	Broadfield Road	20
GB	Sheffield	Blackburn Meadows Way	20
GB	Sheffield	Greenhill Main Road	19
GB	Sheffield	Fulwood Road	19
GB	Sheffield	Dyche Lane	19
GB	Sheffield	Bochum Parkway	19
GB	Sheffield	Greasbrough Road	19
GB	Sheffield	Holme Lane	19
GB	Sheffield	Loxley Road	19
GB	Sheffield	Infirmary Road	19
GB	Sheffield	Newhall Road	19
GB	Sheffield	Staniforth Road	19
GB	Sheffield	West Street	18
GB	Sheffield	Donetsk Way	18
GB	Sheffield	Charter Row	18
GB	Sheffield	Church Street	18
GB	Sheffield	Bridgehouses	18
GB	Sheffield	Ecclesfield Road	18
GB	Sheffield	East Bank Road	18
GB	Sheffield	Drake House Way	18
GB	Sheffield	Unstone-Dronfield By-Pass	17
GB	Sheffield	Archer Road	17
GB	Sheffield	Atlas Way	17
GB	Sheffield	Cowley Lane	17
GB	Sheffield	Ringinglow Road	16
GB	Sheffield	Park Square	16
GB	Sheffield	Mansfield Road	16
GB	Sheffield	Green Lane	16
GB	Sheffield	Manchester Road	16
GB	Sheffield	West Bar	16
GB	Sheffield	Arundel Gate	16
GB	Sheffield	Rutland Road	16
GB	Sheffield	The Common	16
GB	Sheffield	Spital Hill	16
GB	Sheffield	Barrow Road	16
GB	Sheffield	Highfield Lane	16
GB	Sheffield	Wicker	16
GB	Sheffield	Western Bank	15
GB	Sheffield	Matilda Street	15
GB	Leeds	York Road	166
GB	Leeds	Dewsbury Road	113
GB	Leeds	Leeds Road	103
GB	Leeds	Wakefield Road	100
GB	Leeds	Gelderd Road	81
GB	Leeds	Inner Ring Road	71
GB	Leeds	Selby Road	70
GB	Leeds	Pontefract Lane	70
GB	Leeds	Hunslet Road	54
GB	Leeds	Scott Hall Road	54
GB	Leeds	Elland Road	51
GB	Leeds	Woodhouse Lane	49
GB	Leeds	Bradford Road	47
GB	Leeds	Otley Road	46
GB	Leeds	Whitehall Road	46
GB	Leeds	Ring Road Low Wortley	45
GB	Leeds	Harrogate Road	42
GB	Leeds	King Lane	41
GB	Leeds	Ring Road Beeston	41
GB	Leeds	Middleton Park Road	40
GB	Leeds	Ring Road Moortown	39
GB	Leeds	Station Road	38
GB	Leeds	Church Street	37
GB	Leeds	Town Street	36
GB	Leeds	North Parkway	36
GB	Leeds	Broadway	35
GB	Leeds	Kirkstall Road	35
GB	Leeds	North Street	34
GB	Leeds	Roundhay Road	34
GB	Leeds	South Accommodation Road	32
GB	Leeds	Stonegate Road	31
GB	Leeds	Stanningley Road	31
GB	Leeds	Harehills Lane	31
GB	Leeds	Clay Pit Lane	29
GB	Leeds	Marsh Lane	28
GB	Leeds	Meanwood Road	28
GB	Leeds	Abbey Road	26
GB	Leeds	Wood Lane	26
GB	Leeds	Wetherby Road	26
GB	Leeds	Chapeltown Road	26
GB	Leeds	Easterly Road	26
GB	Leeds	Holden Ing Way	26
GB	Leeds	Aberford Road	25
GB	Leeds	Regent Street	25
GB	Leeds	Ring Road Beeston Park	24
GB	Leeds	Park Lane	24
GB	Leeds	Lingwell Gate Lane	23
GB	Leeds	East Street	23
GB	Leeds	Ring Road West Park	23
GB	Leeds	Century Way	22
GB	Leeds	Wellington Road	22
GB	Leeds	Great Wilson Street	22
GB	Leeds	Crown Point Road	21
GB	Leeds	Pontefract Road	21
GB	Leeds	Street Lane	21
GB	Leeds	Magpie Lane	21
GB	Leeds	Spen Lane	20
GB	Leeds	Wellington Street	20
GB	Leeds	Henconner Lane	20
GB	Leeds	Tunstall Road	20
GB	Leeds	Magnolia Road	20
GB	Leeds	Armley Road	19
GB	Leeds	Church Lane	19
GB	Leeds	Tong Road	19
GB	Leeds	Meadow Lane	19
GB	Leeds	Oakwood Lane	19
GB	Leeds	Harehills Road	19
GB	Leeds	Otley Old Road	18
GB	Leeds	York Road Roundabout	18
GB	Leeds	Savins Mill Way	18
GB	Leeds	Duke Street	18
GB	Leeds	Knowsthorpe Lane	18
GB	Leeds	Cross Gates Road	17
GB	Leeds	Belle Isle Road	17
GB	Leeds	The Avenue	17
GB	Leeds	Middleton Road	17
GB	Leeds	New York Road	17
GB	Leeds	Britannia Road	17
GB	Leeds	Albion Street	16
GB	Leeds	Holmsley Lane	16
GB	Leeds	Lidgett Lane	16
GB	Leeds	Long Causeway	16
GB	Leeds	William Parkin Way	16
GB	Leeds	Woodlands Way	16
GB	Leeds	Park Drive	15
GB	Leeds	Sheepscar Street South	15
GB	Leeds	Stanningley Bypass	15
GB	Leeds	Water Lane	15
GB	Leeds	Weetwood Lane	15
GB	Leeds	Shadwell Lane	15
GB	Leeds	Cross Green Lane	15
GB	Leeds	Swinnow Road	15
GB	Leeds	Burmantofts Street	15
GB	Leeds	Victoria Road	14
GB	Leeds	Potovens Lane	14
GB	Leeds	Neville Street	14
GB	Leeds	York Street	14
GB	Leeds	Ring Road Farnley	14
GB	Leeds	Tingley Common	14
GB	Leeds	Scampston Drive	14
GB	Edinburgh	City of Edinburgh Bypass	87
GB	Edinburgh	Queensferry Road	71
GB	Edinburgh	Gilmerton Road	54
GB	Edinburgh	London Road	48
GB	Edinburgh	Riccarton Mains Road	46
GB	Edinburgh	Ferry Road	45
GB	Edinburgh	Newcraighall Road	45
GB	Edinburgh	Old Dalkeith Road	44
GB	Edinburgh	Leith Walk	42
GB	Edinburgh	Calder Road	41
GB	Edinburgh	West Approach Road	39
GB	Edinburgh	Glasgow Road	36
GB	Edinburgh	Queen's Drive	32
GB	Edinburgh	South Gyle Broadway	32
GB	Edinburgh	George Street	31
GB	Edinburgh	Lasswade Road	31
GB	Edinburgh	Ocean Drive	30
GB	Edinburgh	Princes Street	25
GB	Edinburgh	Straiton Road	25
GB	Edinburgh	The Murrays	25
GB	Edinburgh	Maybury Road	24
GB	Edinburgh	Wester Hailes Road	24
GB	Edinburgh	Warriston Road	24
GB	Edinburgh	Baberton Mains Drive	24
GB	Edinburgh	Gogar Station Road	23
GB	Edinburgh	Maybury Drive	23
GB	Edinburgh	Sir Harry Lauder Road	22
GB	Edinburgh	High Street	22
GB	Edinburgh	Lothian Road	22
GB	Edinburgh	Slateford Road	22
GB	Edinburgh	Murrayburn Road	22
GB	Edinburgh	Lanark Road	22
GB	Edinburgh	Lindsay Road	22
GB	Edinburgh	Lochside Crescent	21
GB	Edinburgh	Biggar Road	20
GB	Edinburgh	Longstone Road	20
GB	Edinburgh	Balgreen Road	20
GB	Edinburgh	West Granton Road	20
GB	Edinburgh	Milton Road East	20
GB	Edinburgh	Millerhill Road	19
GB	Edinburgh	Milton Road	18
GB	Edinburgh	Gorgie Road	18
GB	Edinburgh	Redford Road	17
GB	Edinburgh	Marionville Road	17
GB	Edinburgh	Portobello High Street	17
GB	Edinburgh	Niddrie Mains Road	16
GB	Edinburgh	Colinton Road	16
GB	Edinburgh	Turnhouse Road	16
GB	Edinburgh	Guardwell Crescent	16
GB	Edinburgh	Portobello Road	15
GB	Edinburgh	Picardy Place	15
GB	Edinburgh	Telford Road	15
GB	Edinburgh	Bankhead Drive	15
GB	Edinburgh	Granton Road	15
GB	Edinburgh	Pentland Road	15
GB	Edinburgh	Lochside Avenue	15
GB	Edinburgh	Woodhall Road	15
GB	Edinburgh	The Steils	15
GB	Edinburgh	Morrison Street	15
GB	Edinburgh	Queen Street	15
GB	Edinburgh	Newhailes Road	15
GB	Edinburgh	Lady Road	14
GB	Edinburgh	The Jewel	14
GB	Edinburgh	West Bryson Road	14
GB	Edinburgh	Lauriston Place	14
GB	Edinburgh	Tryst Park	14
GB	Edinburgh	Gilberstoun	14
GB	Edinburgh	Duddingston Road West	14
GB	Edinburgh	Comiston Road	14
GB	Edinburgh	Polton Road	14
GB	Edinburgh	Gyle Park Gardens	14
GB	Edinburgh	Dalkeith Road	13
GB	Edinburgh	Mayfield Road	13
GB	Edinburgh	West Maitland Street	13
GB	Edinburgh	Hillhouse Road	13
GB	Edinburgh	Belford Road	13
GB	Edinburgh	Bonaly Road	13
GB	Edinburgh	Newhaven Road	13
GB	Edinburgh	Craighall Road	13
GB	Edinburgh	Auchingane	13
GB	Edinburgh	Queen Margaret Close	13
GB	Edinburgh	Gilmerton Dykes Road	13
GB	Edinburgh	Sherrifhall Roundabout	13
GB	Edinburgh	Peffermill Road	12
GB	Edinburgh	The Avenue	12
GB	Edinburgh	Clermiston Road	12
GB	Edinburgh	Craigmount Brae	12
GB	Edinburgh	Charlotte Square	12
GB	Edinburgh	Dumbryden Gardens	12
GB	Edinburgh	The Murrays Brae	12
GB	Edinburgh	Fauldburn	12
GB	Edinburgh	East Craigs Wynd	12
GB	Edinburgh	Olive Bank Road	12
GB	Edinburgh	Gogar Roundabout	11
GB	Edinburgh	Home Street	11
GB	Edinburgh	Calton Road	11
GB	Edinburgh	Upper Craigour	11
GB	Edinburgh	Dreghorn Link	11
GB	Edinburgh	Marine Drive	11
GB	Edinburgh	Craigs Road	11
GB	Liverpool	Queens Drive	105
GB	Liverpool	Church Road	38
GB	Liverpool	Smithdown Road	33
GB	Liverpool	Great Howard Street	33
GB	Liverpool	Aigburth Road	31
GB	Liverpool	Rice Lane	28
GB	Liverpool	Leeds Street	28
GB	Liverpool	East Lancashire Road	27
GB	Liverpool	Scotland Road	26
GB	Liverpool	Prescot Road	26
GB	Liverpool	Southport Road	26
GB	Liverpool	Strand Road	25
GB	Liverpool	Edge Lane Drive	24
GB	Liverpool	Ullet Road	24
GB	Liverpool	Utting Avenue	24
GB	Liverpool	Bowring Park Road	23
GB	Liverpool	Edge Lane	23
GB	Liverpool	Breeze Hill	23
GB	Liverpool	Mill Lane	22
GB	Liverpool	Hawthorne Road	22
GB	Liverpool	Upper Parliament Street	22
GB	Liverpool	Stanley Road	22
GB	Liverpool	Boundary Street	21
GB	Liverpool	Anfield Road	21
GB	Liverpool	Marsh Lane	21
GB	Liverpool	Vauxhall Road	20
GB	Liverpool	East Prescot Road	20
GB	Liverpool	Townsend Avenue	20
GB	Liverpool	Green Lane	19
GB	Liverpool	Derby Road	19
GB	Liverpool	Long Lane	19
GB	Liverpool	Longmoor Lane	19
GB	Liverpool	Woolton Road	18
GB	Liverpool	Strand Street	18
GB	Liverpool	Walton Hall Avenue	18
GB	Liverpool	Lower Lane	18
GB	Liverpool	Merton Road	18
GB	Liverpool	Litherland Road	17
GB	Liverpool	Allerton Road	16
GB	Liverpool	West Derby Road	16
GB	Liverpool	Orrell Lane	16
GB	Liverpool	Aigburth Drive	15
GB	Liverpool	King Edward Street	15
GB	Liverpool	Kingsway	15
GB	Liverpool	Byrom Street	15
GB	Liverpool	Walton Lane	15
GB	Liverpool	Croxteth Hall Lane	15
GB	Liverpool	Millers Bridge	15
GB	Liverpool	Linacre Lane	15
GB	Liverpool	Harris Drive	15
GB	Liverpool	Mather Avenue	14
GB	Liverpool	Brownlow Hill	14
GB	Liverpool	Grove Street	14
GB	Liverpool	Pighue Lane	14
GB	Liverpool	Sefton Street	14
GB	Liverpool	Netherton Way	14
GB	Liverpool	Orrell Road	14
GB	Liverpool	Crown Street	13
GB	Liverpool	Lime Street	13
GB	Liverpool	Childwall Abbey Road	13
GB	Liverpool	Riverside Drive	13
GB	Liverpool	Muirhead Avenue	13
GB	Liverpool	Eaton Road	13
GB	Liverpool	Dale Street	13
GB	Liverpool	Parliament Street	13
GB	Liverpool	Park Lane	13
GB	Liverpool	Walton Breck Road	13
GB	Liverpool	Rathbone Road	12
GB	Liverpool	Crosby Road South	12
GB	Liverpool	Knowsley Road	12
GB	Liverpool	Hornby Road	12
GB	Liverpool	Utting Avenue East	12
