release_id	corrected_date	source	old_date
1246	1983-12-31	wikidata:Q3496992	1983-01-01
1288	1983-02-22	wikidata:Q7649171	1983-01-01
1361	1983-12-31	wikidata:Q115251523	1983-01-01
1365	1983-05-24	wikidata:Q2415289	1983-01-01
1445	1984-05-01	wikidata:Q7968352	1984-01-01
1622	1984-06-01	wikidata:Q2552890	1984-01-01
1650	1984-07-14	wikidata:Q2294890	1984-01-01
1658	1984-06-01	wikidata:Q4955790	1984-01-01
1700	1984-04-01	wikidata:Q2732183	1984-01-01
1735	1984-08-09	wikidata:Q5196965	1984-01-01
1761	1984-09-01	wikidata:Q2752913	1984-01-01
1807	1984-03-01	wikidata:Q5420074	1984-01-01
1859	1984-09-07	regional:jp	1984-01-01
1860	1984-09-07	regional:jp	1984-01-01
1861	1984-09-07	regional:jp	1984-01-01
1887	1984-07-01	wikidata:Q5625472	1984-01-01
1915	1984-09-14	wikidata:Q756513	1984-01-01
1934	1984-05-12	regional:jp	1984-01-01
1935	1984-05-12	wikidata:Q532200	1984-01-01
1966	1984-06-01	wikidata:Q2737362	1984-01-01
1992	1984-12-07	wikidata:Q2422991	1984-01-01
2015	1984-09-15	regional:jp	1984-01-01
2031	1984-11-14	regional:jp	1984-01-01
2107	1984-07-28	wikidata:Q5410234	1984-01-01
2131	1984-11-02	wikidata:Q173626	1984-01-01
2132	1984-11-02	wikidata:Q173626	1984-01-01
2196	1984-12-31	wikidata:Q2851830	1984-01-01
2202	1984-07-01	wikidata:Q2568153	1984-01-01
2203	1984-07-01	wikidata:Q2568153	1984-01-01
2216	1984-08-15	wikidata:Q7317933	1984-01-01
2250	1984-05-01	wikidata:Q7441958	1984-01-01
2259	1984-12-31	wikidata:Q55676	1984-01-01
2260	1984-12-31	wikidata:Q55676	1984-01-01
2283	1984-01-31	wikidata:Q7563358	1984-01-01
2342	1984-10-05	wikidata:Q1308062	1984-01-01
2351	1984-08-30	wikidata:Q2008839	1984-01-01
2368	1984-09-14	wikidata:Q756513	1984-01-01
2440	1984-06-01	wikidata:Q25387958	1984-01-01
2494	1984-06-08	regional:na	1984-01-01
2496	1984-06-08	regional:na	1984-01-01
2498	1984-06-08	regional:na	1984-01-01
2499	1984-06-08	regional:na	1984-01-01
2500	1984-06-08	regional:na	1984-01-01
2502	1984-06-08	regional:na	1984-01-01
2575	1985-09-01	wikidata:Q804628	1985-01-01
2579	1985-12-15	wikidata:Q805415	1985-01-01
2681	1985-05-01	wikidata:Q1115150	1985-01-01
2682	1985-05-01	wikidata:Q1115150	1985-01-01
2733	1985-07-15	wikidata:Q5305280	1985-01-01
2735	1985-02-23	wikidata:Q28126844	1985-01-01
2742	1985-06-28	wikidata:Q3049160	1985-01-01
2749	1985-06-28	wikidata:Q591171	1985-01-01
2794	1985-04-04	wikidata:Q5470030	1985-01-01
2822	1985-11-01	wikidata:Q734758	1985-01-01
2873	1985-09-27	wikidata:Q532200	1985-01-01
2886	1985-11-01	wikidata:Q1328570	1985-01-01
2909	1985-12-05	wikidata:Q2353348	1985-01-01
2921	1985-05-23	regional:jp	1985-01-01
2928	1985-06-21	wikidata:Q1319139	1985-01-01
2955	1985-12-21	regional:jp	1985-01-01
2957	1985-12-05	regional:jp	1985-01-01
2986	1985-04-01	wikidata:Q6849871	1985-01-01
2990	1985-04-06	wikidata:Q11342365	1985-01-01
3019	1985-12-01	wikidata:Q1859666	1985-01-01
3037	1985-11-21	wikidata:Q7122035	1985-01-01
3060	1985-12-01	wikidata:Q3926658	1985-01-01
3086	1985-07-11	regional:jp	1985-01-01
3104	1985-07-01	wikidata:Q1514023	1985-01-01
3148	1985-04-01	wikidata:Q3491157	1985-01-01
3153	1985-04-17	wikidata:Q220665	1985-01-01
3159	1985-09-16	wikidata:Q7575870	1985-01-01
3176	1985-03-04	wikidata:Q7601004	1985-01-01
3238	1985-12-21	regional:jp	1985-01-01
3305	1985-10-01	wikidata:Q1790249	1985-01-01
3307	1985-05-01	wikidata:Q1941016	1985-01-01
3310	1985-09-01	wikidata:Q8028760	1985-01-01
3325	1985-04-22	regional:jp	1985-01-01
3326	1985-04-22	regional:jp	1985-01-01
3350	1985-05-22	regional:na	1985-01-01
3351	1985-05-24	regional:na	1985-01-01
3358	1985-07-03	regional:na	1985-01-01
3420	1986-12-06	wikidata:Q2669580	1986-01-01
3458	1986-02-01	wikidata:Q3613155	1986-01-01
3459	1986-02-01	wikidata:Q3613155	1986-01-01
3477	1986-12-26	regional:jp	1986-01-01
3549	1986-11-28	regional:jp	1986-01-01
3552	1986-06-01	wikidata:Q90985	1986-01-01
3581	1986-08-05	wikidata:Q138331892	1986-01-01
3607	1986-10-06	wikidata:Q5245060	1986-01-01
3616	1986-10-01	wikidata:Q5265364	1986-01-01
3626	1986-06-01	wikidata:Q12384	1986-01-01
3627	1986-06-01	wikidata:Q12384	1986-01-01
3628	1986-06-01	wikidata:Q12384	1986-01-01
3629	1986-11-01	wikidata:Q25396413	1986-01-01
3631	1986-05-27	wikidata:Q2313869	1986-01-01
3632	1986-05-27	wikidata:Q2313869	1986-01-01
3680	1986-03-20	wikidata:Q2962094	1986-01-01
3685	1986-12-01	wikidata:Q5451889	1986-01-01
3686	1986-12-01	wikidata:Q5451889	1986-01-01
3728	1986-06-13	wikidata:Q956303	1986-01-01
3729	1986-06-13	wikidata:Q956303	1986-01-01
3777	1986-12-15	wikidata:Q13630627	1986-01-01
3832	1986-12-30	wikidata:Q1844732	1986-01-01
3840	1986-09-18	wikidata:Q6410984	1986-01-01
3845	1986-12-19	regional:jp	1986-01-01
3874	1986-02-03	wikidata:Q138331775	1986-01-01
3877	1986-07-11	wikidata:Q1671179	1986-01-01
3879	1986-04-18	wikidata:Q2585558	1986-01-01
3936	1986-12-16	regional:jp	1986-01-01
3964	1986-09-18	wikidata:Q1946760	1986-01-01
4023	1986-10-28	wikidata:Q2110492	1986-01-01
4038	1986-06-01	wikidata:Q2303119	1986-01-01
4125	1986-10-01	wikidata:Q15036769	1986-01-01
4129	1986-12-31	wikidata:Q7489456	1986-01-01
4159	1986-12-01	wikidata:Q1707792	1986-01-01
4185	1986-06-13	wikidata:Q1756741	1986-01-01
4187	1986-04-04	wikidata:Q7601023	1986-01-01
4190	1986-08-15	wikidata:Q1462499	1986-01-01
4198	1986-12-31	wikidata:Q3392090	1986-01-01
4239	1986-09-27	regional:jp	1986-01-01
4240	1986-09-27	regional:jp	1986-01-01
4249	1986-11-01	wikidata:Q25396413	1986-01-01
4256	1986-04-18	wikidata:Q2585558	1986-01-01
4294	1986-05-09	wikidata:Q2453548	1986-01-01
4301	1986-04-01	wikidata:Q950084	1986-01-01
4305	1986-05-01	wikidata:Q3397426	1986-01-01
4306	1986-05-01	wikidata:Q3397426	1986-01-01
4308	1986-01-04	regional:jp	1986-01-01
4323	1986-10-30	wikidata:Q2320111	1986-01-01
4379	1986-11-28	wikidata:Q2379922	1986-01-01
4414	1986-05-16	regional:na	1986-01-01
4426	1986-07-02	regional:na	1986-01-01
4427	1986-07-02	regional:na	1986-01-01
4554	1987-06-10	wikidata:Q20707450	1987-01-01
4596	1987-06-05	wikidata:Q55610	1987-01-01
4597	1987-06-05	wikidata:Q55610	1987-01-01
4656	1987-10-08	wikidata:Q893416	1987-01-01
4678	1987-10-30	wikidata:Q88759	1987-01-01
4679	1987-10-30	wikidata:Q88759	1987-01-01
4680	1987-10-30	wikidata:Q88759	1987-01-01
4681	1987-10-30	wikidata:Q88759	1987-01-01
4687	1987-02-12	wikidata:Q304643	1987-01-01
4731	1987-04-02	wikidata:Q5150671	1987-01-01
4732	1987-04-02	wikidata:Q5150671	1987-01-01
4768	1987-05-30	wikidata:Q5250165	1987-01-01
4787	1987-06-01	wikidata:Q147789	1987-01-01
4801	1987-01-07	regional:jp	1987-01-01
4818	1987-05-24	regional:jp	1987-01-01
4821	1987-06-02	wikidata:Q30899907	1987-01-01
4884	1987-03-06	regional:jp	1987-01-01
4885	1987-03-06	regional:jp	1987-01-01
4908	1987-03-01	wikidata:Q3094765	1987-01-01
4982	1987-08-01	wikidata:Q392948	1987-01-01
4983	1987-08-01	wikidata:Q392948	1987-01-01
4994	1987-04-14	wikidata:Q11673876	1987-01-01
5024	1987-05-01	wikidata:Q2796607	1987-01-01
5025	1987-05-01	wikidata:Q2796607	1987-01-01
5026	1987-05-01	wikidata:Q2796607	1987-01-01
5027	1987-05-01	wikidata:Q2796607	1987-01-01
5088	1987-10-02	regional:jp	1987-01-01
5110	1987-12-31	wikidata:Q6422357	1987-01-01
5139	1987-08-01	wikidata:Q2585558	1987-01-01
5144	1987-07-05	wikidata:Q590699	1987-01-01
5160	1987-05-06	wikidata:Q2412633	1987-01-01
5173	1987-10-05	wikidata:Q240143	1987-01-01
5190	1987-04-18	wikidata:Q3303109	1987-01-01
5208	1987-10-18	regional:jp	1987-01-01
5209	1987-10-18	wikidata:Q6872454	1987-01-01
5240	1987-08-22	wikidata:Q1142748	1987-01-01
5255	1987-07-22	wikidata:Q1536551	1987-01-01
5267	1987-07-01	wikidata:Q113961935	1987-01-01
5300	1987-07-30	wikidata:Q7205503	1987-01-01
5333	1987-07-01	wikidata:Q55673	1987-01-01
5359	1987-04-17	wikidata:Q88947	1987-01-01
5360	1987-04-17	wikidata:Q88947	1987-01-01
5381	1987-12-31	wikidata:Q7355233	1987-01-01
5382	1987-12-31	wikidata:Q7355233	1987-01-01
5389	1987-04-17	regional:jp	1987-01-01
5390	1987-04-17	regional:jp	1987-01-01
5398	1987-12-31	wikidata:Q55533	1987-01-01
5408	1987-12-31	wikidata:Q53124832	1987-01-01
5419	1987-07-30	wikidata:Q537381	1987-01-01
5424	1987-12-14	wikidata:Q2278333	1987-01-01
5457	1987-07-01	wikidata:Q1075814	1987-01-01
5458	1987-07-01	wikidata:Q1075814	1987-01-01
5459	1987-12-01	wikidata:Q15197255	1987-01-01
5495	1987-04-30	wikidata:Q7604356	1987-01-01
5519	1987-06-06	wikidata:Q1234583	1987-01-01
5595	1987-09-03	wikidata:Q1171208	1987-01-01
5596	1987-10-01	wikidata:Q131917654	1987-01-01
5601	1987-05-06	wikidata:Q2412633	1987-01-01
5679	1987-09-01	wikidata:Q1790249	1987-01-01
5692	1987-03-22	wikidata:Q780496	1987-01-01
5717	1987-06-21	wikidata:Q1142839	1987-01-01
5746	1987-01-18	regional:jp	1987-01-01
5762	1987-03-22	regional:jp	1987-01-01
5779	1987-07-01	regional:jp	1987-01-01
5785	1989-08-25	wikidata:Q1985756	1989-01-01
5788	1987-07-17	regional:na	1987-01-01
5796	1987-07-31	regional:na	1987-01-01
5800	1987-08-01	regional:na	1987-01-01
5801	1986-11-01	wikidata:Q1182594	1986-01-01
5802	1987-08-01	regional:na	1987-01-01
5803	1991-07-25	wikidata:Q1182594	1991-01-01
5804	1989-07-01	wikidata:Q1182594	1989-01-01
5807	1987-08-01	regional:na	1987-01-01
5808	1987-03-29	regional:jp	1987-01-01
5894	1987-03-29	regional:jp	1987-01-01
5929	1988-06-20	wikidata:Q55535	1988-01-01
5930	1988-06-20	regional:jp	1988-01-01
5966	1988-01-05	wikidata:Q1089369	1988-01-01
5982	1988-02-29	wikidata:Q598908	1988-01-01
5983	1988-12-02	regional:jp	1988-01-01
5984	1988-12-02	regional:jp	1988-01-01
5985	1988-12-02	regional:jp	1988-01-01
5987	1988-11-27	wikidata:Q1355850	1988-01-01
6009	1988-03-08	wikidata:Q2459946	1988-01-01
6010	1988-03-08	regional:jp	1988-01-01
6012	1988-03-08	regional:jp	1988-01-01
6038	1988-03-04	wikidata:Q205508	1988-01-01
6064	1988-10-01	wikidata:Q2891842	1988-01-01
6235	1988-08-01	wikidata:Q5256184	1988-01-01
6236	1988-08-01	wikidata:Q5256184	1988-01-01
6264	1988-04-08	wikidata:Q698705	1988-01-01
6301	1988-01-15	wikidata:Q55815	1988-01-01
6331	1988-11-10	wikidata:Q3255718	1988-01-01
6380	1988-06-17	wikidata:Q61942965	1988-01-01
6381	1988-06-17	wikidata:Q61942965	1988-01-01
6425	1988-11-01	wikidata:Q122372839	1988-01-01
6426	1988-11-01	wikidata:Q122372839	1988-01-01
6427	1988-11-01	wikidata:Q122372839	1988-01-01
6471	1988-12-26	wikidata:Q2042716	1988-01-01
6472	1988-12-26	wikidata:Q2042716	1988-01-01
6539	1988-04-16	regional:jp	1988-01-01
6592	1988-06-01	wikidata:Q2073676	1988-01-01
6657	1988-10-01	wikidata:Q2417526	1988-01-01
6698	1988-09-13	regional:jp	1988-01-01
6857	1988-04-28	wikidata:Q2660370	1988-01-01
6869	1988-12-31	wikidata:Q7172732	1988-01-01
6870	1988-12-31	wikidata:Q7172732	1988-01-01
6871	1988-12-31	wikidata:Q7172732	1988-01-01
6872	1988-12-31	wikidata:Q7172732	1988-01-01
6880	1988-09-16	regional:jp	1988-01-01
6889	1988-12-31	wikidata:Q21406781	1988-01-01
6893	1988-12-01	wikidata:Q3392005	1988-01-01
6894	1988-12-01	wikidata:Q3392005	1988-01-01
6918	1988-03-10	wikidata:Q3910069	1988-01-01
6919	1988-03-10	wikidata:Q3910069	1988-01-01
6957	1988-12-01	wikidata:Q1192318	1988-01-01
7083	1988-11-26	wikidata:Q1288651	1988-01-01
7128	1988-12-31	wikidata:Q7601024	1988-01-01
7130	1988-12-31	wikidata:Q7601024	1988-01-01
7223	1988-06-01	wikidata:Q3984595	1988-01-01
7224	1988-06-01	wikidata:Q3984595	1988-01-01
7230	1988-01-27	wikidata:Q131386411	1988-01-01
7231	1988-01-27	wikidata:Q131386411	1988-01-01
7233	1988-01-27	wikidata:Q131386411	1988-01-01
7234	1988-01-27	wikidata:Q131386411	1988-01-01
7244	1988-11-01	wikidata:Q122372839	1988-01-01
7295	1988-12-01	wikidata:Q2197045	1988-01-01
7355	1988-08-01	wikidata:Q7937965	1988-01-01
7356	1988-08-01	wikidata:Q7937965	1988-01-01
7436	1988-10-01	wikidata:Q144559	1988-01-01
7437	1988-10-01	wikidata:Q144559	1988-01-01
7448	1988-10-19	wikidata:Q979567	1988-01-01
7500	1988-01-31	regional:jp	1988-01-01
7509	1988-05-25	regional:na	1988-01-01
7521	1988-06-22	regional:na	1988-01-01
7522	1988-06-22	regional:na	1988-01-01
7523	1988-06-22	regional:na	1988-01-01
7527	1988-03-10	regional:jp	1988-01-01
7531	1988-07-01	regional:na	1988-01-01
7533	1988-02-29	regional:jp	1988-01-01
7553	1988-01-31	regional:jp	1988-01-01
7567	1988-03-26	regional:jp	1988-01-01
7609	1988-10-01	regional:jp	1988-01-01
7630	1988-08-14	regional:jp	1988-01-01
7638	1988-02-29	regional:jp	1988-01-01
7676	1989-04-20	wikidata:Q55538	1989-01-01
7677	1989-04-20	wikidata:Q55538	1989-01-01
7739	1989-12-01	wikidata:Q91268	1989-01-01
7748	1989-06-06	wikidata:Q4797735	1989-01-01
7750	1989-06-06	wikidata:Q4797735	1989-01-01
7797	1989-09-04	wikidata:Q4034913	1989-01-01
7820	1989-10-01	wikidata:Q884654	1989-01-01
7822	1989-01-06	wikidata:Q1406407	1989-01-01
7823	1989-01-06	wikidata:Q1406407	1989-01-01
7833	1989-02-04	regional:jp	1989-01-01
7872	1989-06-01	wikidata:Q88855	1989-01-01
7895	1989-12-08	regional:jp	1989-01-01
7896	1989-12-08	regional:jp	1989-01-01
7897	1989-12-08	regional:jp	1989-01-01
7898	1989-12-08	regional:jp	1989-01-01
7921	1989-10-01	wikidata:Q2268000	1989-01-01
7922	1989-10-01	wikidata:Q2268000	1989-01-01
8039	1989-11-01	wikidata:Q16267544	1989-01-01
8123	1989-10-01	wikidata:Q83115	1989-01-01
8124	1989-10-01	wikidata:Q83115	1989-01-01
8178	1989-10-01	wikidata:Q5527133	1989-01-01
8187	1989-04-20	wikidata:Q17190863	1989-01-01
8201	1989-01-27	wikidata:Q1046574	1989-01-01
8212	1989-04-01	wikidata:Q57837873	1989-01-01
8222	1989-06-01	wikidata:Q2042716	1989-01-01
8225	1989-02-23	wikidata:Q1995635	1989-01-01
8233	1989-02-01	wikidata:Q2333387	1989-01-01
8234	1989-02-01	wikidata:Q2333387	1989-01-01
8235	1989-02-01	wikidata:Q2333387	1989-01-01
8289	1989-07-01	wikidata:Q1571232	1989-01-01
8325	1989-03-14	wikidata:Q6131400	1989-01-01
8371	1989-10-01	wikidata:Q6422459	1989-01-01
8391	1989-07-01	wikidata:Q1892615	1989-01-01
8402	1989-11-01	wikidata:Q2498436	1989-01-01
8569	1989-05-01	wikidata:Q288958	1989-01-01
8570	1989-05-01	wikidata:Q288958	1989-01-01
8580	1989-03-18	wikidata:Q785278	1989-01-01
8635	1989-06-05	wikidata:Q1239244	1989-01-01
8636	1989-06-05	wikidata:Q1239244	1989-01-01
8656	1989-10-03	wikidata:Q4047361	1989-01-01
8701	1989-06-01	regional:eu	1989-01-01
8733	1989-12-31	wikidata:Q1872394	1989-01-01
8734	1989-12-31	wikidata:Q1872394	1989-01-01
8735	1989-12-31	wikidata:Q1872394	1989-01-01
8736	1989-12-31	wikidata:Q1872394	1989-01-01
8743	1989-08-25	wikidata:Q1985756	1989-01-01
8754	1989-10-01	wikidata:Q3440992	1989-01-01
8798	1989-11-01	wikidata:Q2651563	1989-01-01
8806	1989-12-01	wikidata:Q2468410	1989-01-01
8807	1989-12-01	wikidata:Q2468410	1989-01-01
8810	1989-12-01	wikidata:Q2468410	1989-01-01
8812	1989-07-06	wikidata:Q3482630	1989-01-01
8813	1989-07-06	wikidata:Q3482630	1989-01-01
8828	1989-10-03	wikidata:Q7798922	1989-01-01
8857	1989-01-06	regional:jp	1989-01-01
8858	1989-01-06	regional:jp	1989-01-01
8862	1989-12-21	wikidata:Q2040456	1989-01-01
8910	1989-03-07	wikidata:Q1780344	1989-01-01
8913	1989-03-07	wikidata:Q1780344	1989-01-01
8966	1989-05-12	wikidata:Q2172154	1989-01-01
9049	1989-02-11	wikidata:Q2567511	1989-01-01
9050	1989-02-11	wikidata:Q2567511	1989-01-01
9051	1989-02-11	wikidata:Q2567511	1989-01-01
9106	1989-12-01	wikidata:Q7981796	1989-01-01
9173	1989-02-01	regional:na	1989-01-01
9191	1988-06-02	regional:jp	1988-01-01
9192	1989-03-01	regional:na	1989-01-01
9194	1989-03-01	regional:na	1989-01-01
9266	1989-05-24	regional:na	1989-01-01
9267	1989-05-24	regional:na	1989-01-01
9268	1989-05-24	regional:na	1989-01-01
9291	1989-06-16	regional:na	1989-01-01
9292	1989-06-16	regional:na	1989-01-01
9293	1989-06-16	regional:na	1989-01-01
9294	1989-06-16	regional:na	1989-01-01
9313	1989-07-14	regional:na	1989-01-01
9314	1989-07-14	regional:na	1989-01-01
9315	1989-07-14	regional:na	1989-01-01
9333	1989-08-01	regional:na	1989-01-01
9363	1988-07-02	regional:jp	1988-01-01
9372	1989-06-30	regional:jp	1989-01-01
9378	1989-09-01	regional:na	1989-01-01
9380	1989-09-01	regional:na	1989-01-01
9400	1989-10-01	regional:na	1989-01-01
9440	1989-11-17	regional:na	1989-01-01
9445	1991-11-11	regional:eu	1991-01-01
9529	1990-11-29	regional:jp	1990-01-01
9554	1990-07-20	regional:jp	1990-01-01
9555	1990-10-01	wikidata:Q4736302	1990-01-01
9631	1990-11-23	wikidata:Q2710703	1990-01-01
9632	1990-11-23	wikidata:Q2710703	1990-01-01
9643	1990-09-21	regional:jp	1990-01-01
9655	1990-11-01	wikidata:Q88742	1990-01-01
9666	1990-10-19	regional:jp	1990-01-01
9672	1990-04-16	wikidata:Q97658108	1990-01-01
9735	1990-06-29	wikidata:Q1112940	1990-01-01
9757	1990-12-20	wikidata:Q2742747	1990-01-01
9759	1990-12-20	wikidata:Q2742747	1990-01-01
9786	1990-05-19	regional:jp	1990-01-01
9794	1990-03-16	wikidata:Q374820	1990-01-01
9800	1990-10-01	wikidata:Q5243398	1990-01-01
9801	1990-10-01	wikidata:Q5243398	1990-01-01
9802	1990-10-01	wikidata:Q5243398	1990-01-01
10008	1990-11-16	regional:jp	1990-01-01
10032	1990-12-21	regional:jp	1990-01-01
10080	1990-11-01	wikidata:Q2592213	1990-01-01
10081	1990-11-01	wikidata:Q2592213	1990-01-01
10110	1990-04-01	wikidata:Q2017774	1990-01-01
10114	1990-03-01	wikidata:Q6114335	1990-01-01
10116	1990-09-14	regional:jp	1990-01-01
10130	1990-03-23	regional:jp	1990-01-01
10177	1990-12-14	wikidata:Q677764	1990-01-01
10179	1990-12-14	wikidata:Q677764	1990-01-01
10180	1990-12-14	wikidata:Q677764	1990-01-01
10181	1990-12-14	wikidata:Q677764	1990-01-01
10182	1990-12-14	wikidata:Q677764	1990-01-01
10183	1990-12-14	wikidata:Q677764	1990-01-01
10184	1990-12-14	wikidata:Q677764	1990-01-01
10186	1990-05-01	wikidata:Q46993156	1990-01-01
10194	1990-11-01	wikidata:Q6450419	1990-01-01
10195	1990-11-01	wikidata:Q6450419	1990-01-01
10203	1990-11-10	regional:jp	1990-01-01
10244	1990-10-01	wikidata:Q512624	1990-01-01
10245	1990-04-01	wikidata:Q4043185	1990-01-01
10298	1990-07-20	wikidata:Q1995422	1990-01-01
10347	1990-08-01	wikidata:Q2403130	1990-01-01
10348	1990-08-01	wikidata:Q2403130	1990-01-01
10349	1990-08-01	wikidata:Q2403130	1990-01-01
10367	1990-10-01	wikidata:Q448882	1990-01-01
10368	1990-10-01	wikidata:Q448882	1990-01-01
10408	1990-02-09	regional:jp	1990-01-01
10418	1990-07-06	wikidata:Q7126660	1990-01-01
10425	1990-11-01	regional:eu	1990-01-01
10437	1990-09-01	wikidata:Q1131067	1990-01-01
10450	1990-11-01	regional:eu	1990-01-01
10459	1990-12-31	wikidata:Q681057	1990-01-01
10460	1990-12-31	wikidata:Q681057	1990-01-01
10486	1990-11-01	wikidata:Q2182742	1990-01-01
10488	1990-11-01	wikidata:Q2182742	1990-01-01
10492	1990-04-13	regional:jp	1990-01-01
10498	1990-08-01	wikidata:Q2783679	1990-01-01
10532	1990-12-31	wikidata:Q3935000	1990-01-01
10564	1990-04-27	wikidata:Q7389524	1990-01-01
10585	1990-10-01	wikidata:Q179247	1990-01-01
10586	1990-10-01	wikidata:Q179247	1990-01-01
10587	1990-05-18	wikidata:Q3477254	1990-01-01
10593	1990-08-10	regional:jp	1990-01-01
10594	1990-12-01	regional:jp	1990-01-01
10607	1990-01-30	regional:jp	1990-01-01
10632	1990-12-31	wikidata:Q2982608	1990-01-01
10633	1990-12-31	wikidata:Q2982608	1990-01-01
10653	1990-02-24	wikidata:Q2746704	1990-01-01
10680	1990-07-01	wikidata:Q614831	1990-01-01
10681	1990-07-01	wikidata:Q614831	1990-01-01
10708	1990-10-01	wikidata:Q1758350	1990-01-01
10720	1990-04-01	wikidata:Q2017774	1990-01-01
10745	1990-08-17	wikidata:Q2172154	1990-01-01
10820	1990-06-23	regional:jp	1990-01-01
10872	1990-10-01	wikidata:Q389344	1990-01-01
10900	1990-12-30	wikidata:Q3570039	1990-01-01
10932	1990-01-13	regional:jp	1990-01-01
10972	1990-03-01	regional:na	1990-01-01
10977	1990-03-01	regional:na	1990-01-01
11038	1990-04-01	regional:na	1990-01-01
11104	1990-04-13	regional:jp	1990-01-01
11106	1990-03-23	regional:jp	1990-01-01
11112	1990-06-01	regional:na	1990-01-01
11119	1990-06-01	regional:na	1990-01-01
11133	1990-06-15	regional:na	1990-01-01
11134	1991-02-21	wikidata:Q3116412	1991-01-01
11135	1990-06-15	regional:na	1990-01-01
11136	1990-06-15	regional:na	1990-01-01
11137	1990-06-15	regional:na	1990-01-01
11142	1990-06-22	regional:na	1990-01-01
11143	1990-06-22	regional:na	1990-01-01
11144	1991-04-01	wikidata:Q3939307	1991-01-01
11153	1990-07-01	regional:na	1990-01-01
11154	1990-03-23	regional:jp	1990-01-01
11164	1990-06-15	regional:jp	1990-01-01
11172	1990-05-11	regional:jp	1990-01-01
11174	1990-07-01	regional:na	1990-01-01
11175	1990-03-30	regional:jp	1990-01-01
11180	1990-07-01	regional:na	1990-01-01
11204	1990-07-28	regional:jp	1990-01-01
11206	1990-07-20	regional:jp	1990-01-01
11210	1990-03-02	regional:jp	1990-01-01
11213	1990-08-01	regional:na	1990-01-01
11214	1990-08-01	regional:na	1990-01-01
11245	1990-06-30	regional:jp	1990-01-01
11255	1990-06-29	regional:jp	1990-01-01
11268	1990-09-01	regional:na	1990-01-01
11274	1990-09-01	regional:na	1990-01-01
11276	1990-08-03	regional:jp	1990-01-01
11281	1990-09-01	regional:na	1990-01-01
11316	1990-07-14	regional:jp	1990-01-01
11324	1990-04-27	regional:jp	1990-01-01
11331	1990-04-28	regional:jp	1990-01-01
11369	1990-11-01	regional:na	1990-01-01
11384	1990-04-20	regional:jp	1990-01-01
11388	1990-09-21	regional:jp	1990-01-01
11398	1990-09-29	regional:jp	1990-01-01
11411	1990-11-21	regional:na	1990-01-01
11438	1990-12-01	regional:na	1990-01-01
11447	1990-12-01	regional:na	1990-01-01
11527	1991-06-01	wikidata:Q55561	1991-01-01
11528	1991-06-01	wikidata:Q55561	1991-01-01
11531	1991-06-15	wikidata:Q2413273	1991-01-01
11533	1991-09-01	regional:eu	1991-01-01
11551	1991-03-08	regional:jp	1991-01-01
11563	1991-06-28	regional:jp	1991-01-01
11564	1991-06-28	regional:jp	1991-01-01
11565	1991-06-28	regional:jp	1991-01-01
11635	1991-11-01	regional:jp	1991-01-01
11636	1991-07-01	regional:eu	1991-01-01
11641	1991-05-17	regional:jp	1991-01-01
11678	1991-09-01	wikidata:Q2937645	1991-01-01
11689	1991-11-01	wikidata:Q269487	1991-01-01
11722	1991-10-25	regional:jp	1991-01-01
11756	1991-03-29	regional:jp	1991-01-01
11759	1991-10-23	wikidata:Q1142344	1991-01-01
11774	1991-02-01	wikidata:Q583063	1991-01-01
