country_code	street_name	num_cities
FR	Rue Jean Moulin	8
FR	Rue Henri Barbusse	8
FR	Rue Gambetta	8
GB	Station Road	33
GB	High Street	27
GB	London Road	22
GB	Church Road	22
GB	Church Street	18
GB	Park Road	15
GB	Green Lane	15
GB	Victoria Road	13
GB	Mill Lane	13
GB	West Street	11
GB	Kingsway	11
GB	Park Lane	10
GB	Church Lane	10
GB	Bridge Street	10
GB	The Avenue	9
GB	King Street	9
GB	Queen Street	8
GB	Manchester Road	8
GB	George Street	8
GB	The Green	7
GB	North Street	7
GB	Main Road	7
GB	Liverpool Road	7
GB	Broadway	7
GB	Wood Lane	6
GB	Wellington Road	6
GB	Queen's Road	6
GB	Park Street	6
GB	Main Street	6
GB	Long Lane	6
IT	Via Roma	24
IT	Via Guglielmo Marconi	13
IT	Via Giosuè Carducci	13
IT	Via Antonio Gramsci	13
IT	Viale Europa	12
IT	Via Cristoforo Colombo	12
IT	Via Alessandro Manzoni	12
IT	Via Torino	11
IT	Via Leonardo da Vinci	11
IT	Via Giuseppe Verdi	11
IT	Via Emilia	11
IT	Via Cesare Battisti	11
IT	Via Aldo Moro	11
IT	Via Galileo Galilei	10
IT	Via Enrico Fermi	10
IT	Via Dante Alighieri	10
IT	Via Vittorio Veneto	9
IT	Via Venticinque Aprile	9
IT	Via Giuseppe Mazzini	9
IT	Via Giuseppe Garibaldi	9
IT	Via Giacomo Matteotti	9
IT	Tangenziale Sud	9
IT	Corso Italia	9
IT	Autostrada Serenissima	9
IT	Via Trento	8
IT	Via Alessandro Volta	8
IT	Autostrada del Sole	8
IT	Via Venti Settembre	7
IT	Via Quattro Novembre	7
IT	Via Po	7
NL	Rijksstraatweg	13
NL	Dorpsstraat	13
NL	Provincialeweg	12
NL	Stationsweg	9
NL	Sportlaan	9
NL	Schoolstraat	9
NL	Rijksweg	9
NL	Kerkstraat	9
NL	Kanaaldijk	9
NL	Industrieweg	9
NL	Molenstraat	8
NL	Europaweg	8
NL	Stationsstraat	7
NL	Hoogstraat	7
NL	Hoofdstraat	7
NL	President Kennedylaan	6
NL	Parkweg	6
NL	Parallelweg	6
NL	Nieuwstraat	6
NL	Europalaan	6
NL	Zuiderweg	5
NL	Willem de Zwijgerlaan	5
NL	Thorbeckelaan	5
NL	Stationsplein	5
NL	Spoorstraat	5
NL	Singel	5
NL	Schipholweg	5
NL	Rotterdamseweg	5
NL	Rembrandtlaan	5
NL	Randweg	5
NO	Storgata	18
NO	Kirkegata	13
NO	Strandgata	10
NO	Kongens gate	10
NO	Jernbanegata	10
NO	Elvegata	9
NO	Torggata	8
NO	Strandveien	8
NO	Kirkeveien	8
NO	Skippergata	7
NO	Ringvegen	7
NO	Skolegata	6
NO	Sjøgata	6
NO	Gamleveien	6
NO	Fjellveien	6
NO	Tollbugata	5
NO	Strandpromenaden	5
NO	Skogvegen	5
NO	Rådhusgata	5
NO	Parkgata	5
NO	Nordbyveien	5
NO	Møllebakken	5
NO	Industriveien	5
NO	Havnegata	5
NO	Gamle kongevei	5
NO	Fagerlivegen	5
NO	Dronningens gate	5
NO	Åsveien	4
NO	Åsvegen	4
NO	Vesterveien	4
PL	Tadeusza Kościuszki	23
PL	Warszawska	22
PL	Henryka Sienkiewicza	19
PL	Dworcowa	18
PL	Adama Mickiewicza	18
PL	Leśna	17
PL	3 Maja	16
PL	1 Maja	16
PL	Krakowska	15
PL	Grunwaldzka	15
PL	Armii Krajowej	15
PL	Wojska Polskiego	14
PL	Marszałka Józefa Piłsudskiego	14
PL	Długa	14
PL	Aleja Jana Pawła II	14
PL	Piastowska	13
PL	Wincentego Witosa	12
PL	Słoneczna	12
PL	Stefana Żeromskiego	12
PL	Polna	12
PL	Parkowa	12
PL	Ogrodowa	12
PL	Kolejowa	12
PL	Bolesława Chrobrego	12
PL	11 Listopada	12
PL	Wrocławska	11
PL	Wiejska	11
PL	Przemysłowa	11
PL	Nowa	11
PL	Księdza Jerzego Popiełuszki	11
SE	Kungsgatan	22
SE	Storgatan	18
SE	Drottninggatan	13
SE	Nygatan	12
SE	Järnvägsgatan	11
SE	Skolgatan	10
SE	Hamngatan	10
SE	Strandgatan	9
SE	Stockholmsvägen	9
SE	Kyrkogatan	9
SE	Vasagatan	8
SE	Ringvägen	8
SE	Engelbrektsgatan	8
SE	Torggatan	7
SE	Linnégatan	7
SE	Köpmangatan	7
SE	Kyrkvägen	7
SE	Göteborgsvägen	7
SE	Österleden	6
SE	Västerleden	6
SE	Valhallavägen	6
SE	Trädgårdsgatan	6
SE	Tegnérgatan	6
SE	Sveavägen	6
SE	Sturegatan	6
SE	Strandvägen	6
SE	Stationsgatan	6
SE	Magasinsgatan	6
SE	Lasarettsvägen	6
SE	Fredsgatan	6
US	Main Street	12
US	Broadway	12
US	Central Avenue	8
US	Washington Street	7
US	Washington Avenue	7
US	Riverside Drive	7
US	Park Avenue	7
US	East 8th Street	7
US	South Main Street	6
US	East 4th Street	6
US	Atlantic Avenue	6
US	Washington Boulevard	5
US	Walnut Street	5
US	South Central Avenue	5
US	Madison Avenue	5
US	East 7th Street	5
US	East 1st Street	5
US	East 12th Street	5
US	East 10th Street	5
US	5th Avenue	5
US	3rd Street	5
US	3rd Avenue	5
US	2nd Avenue	5
US	1st Avenue	5
US	16th Street	5
US	West Broadway	4
US	West 8th Street	4
US	West 10th Street	4
US	South Freeway	4
US	South 7th Street	4
