release_id	title	platform	first_release_date	reception_score	lifetime_units	publisher	developer	genre	media_type	release_jp	release_na	release_eu	release_br	first_release_raw	source_url	notes
11	Video Olympics	Atari 2600	1977-09-01	65.0		Atari, Inc.	Joe Decuir	sports video game	Cartridge					September 1977	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	One of the nine Atari 2600 launch games
12	3-D Docking Mission	Apple II	1978-01-01	65.0		Programma International/The Elektrik Keyboard	Chris Oberth	simulation video game	Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
13	Adventureland	Apple II	1978-01-01	65.0		Adventure International	Scott Adams		Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Interactive fiction
14	Beneath Apple Manor	Apple II	1978-01-01	65.0		The Software Factory	Don Worth	roguelike	Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
15	Bomber	Apple II	1978-01-01	65.0		Softape	Bob Bishop		Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Arcade game
16	Depth Charge	Apple II	1978-01-01	65.0		The Elektrik Keyboard	Chris Oberth		Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
17	Dungeon Campaign	Apple II	1978-01-01	65.0		Synergistic Software	Robert C. Clardy		Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
18	Dynasty	Apple II	1978-01-01	65.0		Apple Core	Weyman Fong		Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
19	Escape!	Apple II	1978-01-01	65.0		Muse Software	Silas Warner	science fiction	Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Also rereleased in 1980 on The Best of Muse compilation disk.
20	Hammurabi	Apple II	1978-01-01	65.0		Apple Computer	Mark Cross		Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	appears on Apple Software Bank Contributed Programs Volume 1
21	House of Seven Gables	Apple II	1978-01-01	65.0		Mad Hatter Software	Greg Hassett		Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	text adventure; also appears on the Adventure Disk "A" compilation disk.
22	Journey to the Center of the Earth	Apple II	1978-01-01	65.0		Mad Hatter Software	Greg Hassett	lost world fiction	Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	text adventure; also appears on the Adventure Disk "A" compilation disk.
23	King Tut's Tomb	Apple II	1978-01-01	65.0		Mad Hatter Software	Greg Hassett		Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	text adventure; also appears on the Adventure Disk "A" compilation disk.
24	Maze Game	Apple II	1978-01-01	65.0		Muse Software	Silas Warner		Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Also rereleased in 1980 on The Best of Muse compilation disk.
25	Nightmare #6	Apple II	1978-01-01	65.0		Apple Computer	Gary Shannon		Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	appears on Apple Software Bank Contributed Programs Vol. 1
26	Pirate Adventure	Apple II	1978-01-01	65.0		Adventure International	Scott Adams	adventure video game	Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
27	Sorcerer's Castle	Apple II	1978-01-01	65.0		Mad Hatter Software	Greg Hassett		Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	text adventure; also appears on the Adventure Disk "A" compilation disk.
28	Space	Apple II	1978-01-01	65.0		Edu-Ware	Steven Pederson		Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
29	Tank War	Apple II	1978-01-01	65.0		Muse Software	Ed Zaron		Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Also rereleased in 1980 on The Best of Muse compilation disk.
30	Warlords	Apple II	1978-01-01	65.0		Speakeasy Software Ltd	Brian Beninger		Floppy Disk					1978	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
31	Basketball	Atari 2600	1978-10-01	65.0			Alan Miller		Cartridge					October 1978	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
32	Brain Games	Atari 2600	1978-10-01	65.0			Larry Kaplan	puzzle video game	Cartridge					October 1978	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
33	Breakout	Atari 2600	1978-10-01	65.0			Brad Stewart		Cartridge					October 1978	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
34	Codebreaker	Atari 2600	1978-10-01	65.0			Unknown		Cartridge					October 1978	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
35	Concentration	Atari 2600	1978-10-01	65.0			Jim Huether		Cartridge					October 1978	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	Also known as Hunt & Score
36	Flag Capture	Atari 2600	1978-10-01	65.0			Jim Huether		Cartridge					October 1978	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
37	Hangman	Atari 2600	1978-10-01	65.0			Alan Miller		Cartridge					October 1978	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
38	Home Run	Atari 2600	1978-10-01	65.0			Bob Whitehead		Cartridge					October 1978	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
39	Outlaw	Atari 2600	1978-10-01	65.0			David Crane		Cartridge					October 1978	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
40	Slot Racers	Atari 2600	1978-10-01	65.0		Atari	Warren Robinett	action game	Cartridge					October 1978	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
41	Space War	Atari 2600	1978-10-01	65.0			Ian Shepard	action game	Cartridge					October 1978	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
42	Air Traffic Controller	Apple II	1979-01-01	65.0		Creative Computing			Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
43	Apple Trek	Apple II	1979-01-01	65.0		Apple Computer	Wendell Sander		Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
44	Blitzkrieg	Apple II	1979-01-01	65.0		Programma International	Mark Cross		Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
45	Bloody Murder	Apple II	1979-01-01	65.0		Stoneware	Arthur Wells	horror film	Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
46	Checkers	Intellivision	1979-01-01	65.0		Mattel Electronics	APh Technological Consulting	Board Game	Cartridge					NA: 1979	https://en.wikipedia.org/wiki/List_of_Intellivision_games	aka Draughts in some markets
47	Cosmos Mission	Apple II	1979-01-01	65.0		Astar International Inc.		action game	Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Space Invaders clone
48	Dart Room	Apple II	1979-01-01	65.0		Chris Oberth	The Elektrik Keyboard		Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
49	Death Race	Apple II	1979-01-01	65.0		Programma International	Bob Andrews		Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
50	Flight Simulator	Apple II	1979-01-01	65.0		Sublogic	Bruce Artwick		Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Also known as A2-FS1 Flight Simulator
51	Global War	Apple II	1979-01-01	65.0		Muse Software	Alan M. Boyd		Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
52	Lemonade Stand	Apple II	1979-01-01	65.0		Apple Computer	MECC	economics	Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
53	Little Brick Out	Apple II	1979-01-01	65.0		Apple Computer	Bruce Tognazzini		Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	An abbreviated Applesoft version of Steve Wozniak's Integer BASIC Breakout game.
54	Major League Baseball ^	Intellivision	1979-01-01	65.0		Mattel Electronics	APh Technological Consulting	Sports	Cartridge					NA: 1979	https://en.wikipedia.org/wiki/List_of_Intellivision_games	aka Baseball, Big League Baseball; Two players required.
55	Microsoft Adventure	Apple II	1979-01-01	65.0		Microsoft	Softwin Associates (Gordon Letwin)	interactive fiction	Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Port of Colossal Cave Adventure (William Crowther and Don Woods)
56	Morloc's Tower	Apple II	1979-01-01	65.0		Automated Simulations	Automated Simulations		Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
57	NBA Basketball ^	Intellivision	1979-01-01	65.0		Mattel Electronics	APh Technological Consulting	Sports	Cartridge					NA: 1979	https://en.wikipedia.org/wiki/List_of_Intellivision_games	aka Basketball; Two players required.
58	NFL Football ^	Intellivision	1979-01-01	65.0		Mattel Electronics	APh Technological Consulting	Sports	Cartridge					NA: 1979	https://en.wikipedia.org/wiki/List_of_Intellivision_games	aka Football; Two players required.
59	Perception	Apple II	1979-01-01	65.0		Edu-Ware	Edu-Ware		Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
60	Santa Paravia en Fiumaccio	Apple II	1979-01-01	65.0		Instant Software	George Blank	strategy video game	Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
61	Sargon	Apple II	1979-01-01	65.0		Hayden Software	Dan and Kathleen Spracklen		Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
62	Space II	Apple II	1979-01-01	65.0		Edu-Ware	David Mullich	role-playing video game	Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
63	Super Invader	Apple II	1979-01-01	65.0		California Pacific Computer Company	M. Hata	action game	Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Arcade
64	Temple of Apshai	Apple II	1979-01-01	65.0		Automated Simulations	Automated Simulations	role-playing video game	Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
65	Three Mile Island	Apple II	1979-01-01	65.0		Muse Software	Richard Orban		Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
66	Wilderness Campaign	Apple II	1979-01-01	65.0		Synergistic Software	Robert C. Clardy		Floppy Disk					1979	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
67	Bowling	Atari 2600	1979-03-01	65.0			Larry Kaplan		Cartridge					March 1979	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
68	Canyon Bomber	Atari 2600	1979-03-01	65.0		Atari, Inc.	David Crane	arcade	Cartridge					March 1979	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
69	Casino	Atari 2600	1979-03-01	65.0			Bob Whitehead		Cartridge					March 1979	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
70	Football	Atari 2600	1979-03-01	65.0			Bob Whitehead		Cartridge					March 1979	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
71	Human Cannonball	Atari 2600	1979-03-01	65.0			Unknown		Cartridge					March 1979	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	Based on an unreleased arcade concept by Owen Rubin
72	Miniature Golf	Atari 2600	1979-03-01	65.0			Tom Reuterdahl		Cartridge					March 1979	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
73	Sky Diver	Atari 2600	1979-03-01	65.0			Jim Huether	action game	Cartridge					March 1979	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
74	Slot Machine	Atari 2600	1979-03-01	65.0			David Crane		Cartridge					March 1979	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
75	Superman	Atari 2600	1979-09-01	65.0			John Dunn		Cartridge					September 1979	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
76	Backgammon	Atari 2600	1979-11-01	65.0			Craig Nelson		Cartridge					November 1979	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
77	Video Chess	Atari 2600	1979-11-01	65.0		Atari	Larry Wagner, Bob Whitehead	traditional video game	Cartridge					November 1979	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
78	ABPA Backgammon	Intellivision	1979-11-23	65.0		Mattel Electronics	APh Technological Consulting	Board Game	Cartridge					NA: 1979-11	https://en.wikipedia.org/wiki/List_of_Intellivision_games	aka Backgammon
79	Armor Battle ^	Intellivision	1979-11-23	65.0		Mattel Electronics	APh Technological Consulting	Action	Cartridge					NA: 1979-11	https://en.wikipedia.org/wiki/List_of_Intellivision_games	Running change with faster tank turning. Two players required.
80	Las Vegas Poker & Blackjack	Intellivision	1979-11-23	65.0		Mattel Electronics	APh Technological Consulting	Gambling	Cartridge					NA: 1979-11	https://en.wikipedia.org/wiki/List_of_Intellivision_games	aka Blackjack & Poker; pack-in cartridge 1979-1982
81	The Electric Company: Math Fun	Intellivision	1979-11-23	65.0		Mattel Electronics	APh Technological Consulting	Educational	Cartridge					NA: 1979-11	https://en.wikipedia.org/wiki/List_of_Intellivision_games	aka Math Masters; Running change had digit entry changed from right to left to left to right.
82	3-D Space Battle	Apple II	1980-01-01	65.0		Loch Ness Productions	Paul Berker		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
83	ABM	Apple II	1980-01-01	65.0		Muse Software	Silas Warner		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Clone of Missile Command
84	Akalabeth	Apple II	1980-01-01	65.0		California Pacific Computer Company	Richard Garriott	role-playing video game	Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Graphical RPG
85	Android Nim	Apple II	1980-01-01	65.0		Adventure International			Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
86	Apple Adventure	Apple II	1980-01-01	65.0		Apple Computer	Peter Schmuckal & Leonard Barshack		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	adapted from Colossal Cave Adventure (William Crowther and Don Woods)
87	Apple-Oids	Apple II	1980-01-01	65.0		California Pacific		multidirectional shooter	Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
88	B-1 Nuclear Bomber	Apple II	1980-01-01	65.0		Avalon Hill		flight simulation video game	Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
89	BASIC Cassette & Cartridge	Intellivision	1980-01-01	65.0		Mattel Electronics	APh Technological Consulting, Microsoft	Programming	Cassette					NA: 1980	https://en.wikipedia.org/wiki/List_of_Intellivision_games	Based on Microsoft BASIC v2.0b for MOS 6502. Unique cartridge using one of the Keyboard Component I/O ports.
90	Creature Venture	Apple II	1980-01-01	65.0		Highlands Computer Services			Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
91	Cyber Strike	Apple II	1980-01-01	65.0		Sirius Software	Nasir Gebelli		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
92	Deathmaze 5000	Apple II	1980-01-01	65.0		Med Systems Software	Frank Corr and William Denman	survival game	Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
93	Dogfight	Apple II	1980-01-01	65.0		Microlab	Bill Basham		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
94	Doom Cavern	Apple II	1980-01-01	65.0		Synergistic Software	Morwe		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	RPG; included with the game Sorcerer's Challenge on the same disk.
95	Eamon	Apple II	1980-01-01	65.0		public domain	Donald Brown		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
96	Fracas	Apple II	1980-01-01	65.0		Computersmiths	Quality Software		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
97	Galactic Empire	Apple II	1980-01-01	65.0		Broderbund	Doug Carlston		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Strategy game
98	Hellfire Warrior	Apple II	1980-01-01	65.0		Automated Simulations	Automated Simulations		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
99	Mission Asteroid	Apple II	1980-01-01	65.0		On-Line Systems	Roberta Williams & Ken Williams	adventure video game	Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Also known as Hi-Res Adventure #0
100	Mystery House	Apple II	1980-01-01	65.0		On-Line Systems	Roberta Williams & Ken Williams	adventure video game	Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Also known as Hi-Res Adventure #1
101	Network	Apple II	1980-01-01	65.0		Edu-Ware	David Mullich		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Business simulation
102	Night Driver	Apple II	1980-01-01	65.0		California Pacific Computer Company	Bill Budge		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Part of Bill Budge's Trilogy of Games
103	Odyssey: The Compleat Apventure	Apple II	1980-01-01	65.0		Synergistic Software	Robert C. Clardy	adventure video game	Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
104	Phantoms Five	Apple II	1980-01-01	65.0		Sirius Software	Nasir Gebelli		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
105	Rescue at Rigel	Apple II	1980-01-01	65.0		Epyx	Epyx	role-playing video game	Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
106	Sorcerer's Challenge	Apple II	1980-01-01	65.0		Synergistic Software	Robert C. Clardy		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Included with the game Doom Cavern on the same disk.
107	Terrorist	Apple II	1980-01-01	65.0		Edu-Ware	Steven Pederson		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
108	The Asteroid Field	Apple II	1980-01-01	65.0		Cavalier Computer	Jim Nitchals		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
109	The Prisoner	Apple II	1980-01-01	65.0		Edu-Ware	Edu-Ware	science fiction television program	Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
110	Three Mile Island: Special Edition	Apple II	1980-01-01	65.0		Muse Software	Richard Orban		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
111	Tuesday Morning Quarterback	Apple II	1980-01-01	65.0		ShoeString Software Automated Simulations	Charles Anderson, Jon Freeman		Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
112	Voodoo Castle	Apple II	1980-01-01	65.0		Adventure International	Scott Adams & Alexis Adams	adventure video game	Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
113	Windfall: The Oil Crisis Game	Apple II	1980-01-01	65.0		Edu-ware	Edu-ware	business simulation game	Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
114	Zork: The Great Underground Empire	Apple II	1980-01-01	65.0		Infocom	Marc Blank, Dave Lebling, Bruce Daniels, & Tim Anderson	interactive fiction	Floppy Disk					1980	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Interactive fiction
115	Adventure	Atari 2600	1980-03-01	65.0			Warren Robinett		Cartridge					March 1980	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	Contains the first known Easter egg, containing the designer's name.
116	Space Invaders	Atari 2600	1980-03-01	65.0		Taito	Rick Maurer (original), Christopher Omarzu (Pepsi Invaders)	shoot 'em up	Cartridge	1985-04-17				March 1980	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	Licensed by Taito. Retooled as Pepsi Invaders for Coca-Cola in 1983.
117	BASIC Programming	Atari 2600	1980-04-01	65.0			Warren Robinett	interpreter	Cartridge					April 1980	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	Advertised in 1979, but appears to have gone unreleased until 1980
118	Star Wars: The Empire Strikes Back	Atari 2600	1982-07-01	65.0		Parker Brothers	Parker Brothers	Action	Cartridge		1980-05-21			July 1982	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
119	Star Wars: The Empire Strikes Back	Intellivision	1983-01-01	65.0		Parker Brothers	Roklan	Shooter	Cartridge		1980-05-21			NA: 1983	https://en.wikipedia.org/wiki/List_of_Intellivision_games	
120	3-D Tic-Tac-Toe	Atari 2600	1980-07-01	65.0			Carol Shaw		Cartridge					July 1980	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
121	Circus Atari	Atari 2600	1980-07-01	65.0		Exidy	Michael Lorenzen	arcade	Cartridge					July 1980	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
122	Golf	Atari 2600	1980-07-01	65.0			Michael Lorenzen		Cartridge					July 1980	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
123	Night Driver	Atari 2600	1980-07-01	65.0			Rob Fulop		Cartridge					July 1980	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
124	Boxing	Atari 2600	1980-08-01	65.0		Activision	Activision (Bob Whitehead)	Sports	Cartridge					August 1980	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
125	Checkers	Atari 2600	1980-08-01	65.0		Activision	Activision (Alan Miller)	Strategy	Cartridge					August 1980	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
126	Dragster	Atari 2600	1980-08-01	65.0		Activision	Activision (David Crane)	Racing / Driving	Cartridge					August 1980	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
127	Fishing Derby	Atari 2600	1980-08-01	65.0		Activision	Activision (David Crane)	Action, Sports	Cartridge					August 1980	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
128	Space Battle	Intellivision	1980-08-25	65.0		Mattel Electronics	APh Technological Consulting	Action	Cartridge					NA: 1980-08-25	https://en.wikipedia.org/wiki/List_of_Intellivision_games	Originally part of Action network. Running change added a fifth "super advanced" difficulty level.
129	Dodge 'Em	Atari 2600	1980-09-01	65.0			Carla Meninsky	racing video game	Cartridge					September 1980	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
130	Maze Craze: A Game of Cops 'n Robbers	Atari 2600	1980-09-01	65.0			Rick Maurer		Cartridge					September 1980	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
131	Video Checkers	Atari 2600	1980-09-01	65.0		Atari	Carol Shaw	strategy video game	Cartridge					September 1980	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
132	NASL Soccer ^	Intellivision	1980-09-04	65.0		Mattel Electronics	APh Technological Consulting	Sports	Cartridge					NA: 1980-09-04	https://en.wikipedia.org/wiki/List_of_Intellivision_games	aka Soccer; Two players required.
133	Auto Racing	Intellivision	1980-10-03	65.0		Mattel Electronics	APh Technological Consulting	Racing	Cartridge					NA: 1980-10-03	https://en.wikipedia.org/wiki/List_of_Intellivision_games	Running change with steering changed from "directional" to "realistic" (left/right).
134	Horse Racing	Intellivision	1980-10-03	65.0		Mattel Electronics	APh Technological Consulting	Gambling	Cartridge					NA: 1980-10-03	https://en.wikipedia.org/wiki/List_of_Intellivision_games	
135	Las Vegas Roulette	Intellivision	1980-10-03	65.0		Mattel Electronics	APh Technological Consulting	Gambling	Cartridge					NA: 1980-10-03	https://en.wikipedia.org/wiki/List_of_Intellivision_games	Programmed by Walter Bright Intellivision Lives also credits John Brooks.
136	NHL Hockey ^	Intellivision	1980-10-03	65.0		Mattel Electronics	APh Technological Consulting	Sports	Cartridge					NA: 1980-10-03	https://en.wikipedia.org/wiki/List_of_Intellivision_games	aka Hockey; Two players required.
137	Sea Battle ^	Intellivision	1980-10-03	65.0		Mattel Electronics	APh Technological Consulting	Action, Strategy	Cartridge					NA: 1980-10-03	https://en.wikipedia.org/wiki/List_of_Intellivision_games	Two players required.
138	PGA Golf	Intellivision	1980-11-05	65.0		Mattel Electronics	APh Technological Consulting	Sports	Cartridge					NA: 1980-11-05	https://en.wikipedia.org/wiki/List_of_Intellivision_games	aka Golf
139	The Electric Company: Word Fun	Intellivision	1980-11-05	65.0		Mattel Electronics	APh Technological Consulting	Educational	Cartridge					NA: 1980-11-05	https://en.wikipedia.org/wiki/List_of_Intellivision_games	album cartridge: Crosswords, Word Hunt, and Word Rockets. In addition to Kevin Miller, programming credits are also given to Don Bacon.[citation needed]
140	Bridge	Atari 2600	1980-12-01	65.0		Activision	Activision (Larry Kaplan)	Strategy	Cartridge					December 1980	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
141	Skiing	Atari 2600	1980-12-01	65.0		Activision	Activision (Bob Whitehead)	Sports	Cartridge					December 1980	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	
142	Tennis ^	Intellivision	1980-12-10	65.0		Mattel Electronics	APh Technological Consulting	Sports	Cartridge					NA: 1980-12-10	https://en.wikipedia.org/wiki/List_of_Intellivision_games	Two players required. In addition to Gavin Claypool, programming credits are also given to Chris Lutz.[citation needed]
143	U.S. Ski Team Skiing	Intellivision	1980-12-10	65.0		Mattel Electronics	APh Technological Consulting	Sports	Cartridge					NA: 1980-12-10	https://en.wikipedia.org/wiki/List_of_Intellivision_games	aka Skiing. In addition to Scott Reynolds, programming credits are also given to Terry Ligocki.[citation needed]
144	3-D Skiing	Apple II	1981-01-01	65.0		Continental Software			Floppy Disk					1981	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
145	Adventure in Time	Apple II	1981-01-01	65.0		Phoenix Software	Paul Berker		Floppy Disk					1981	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
146	Alien Rain	Apple II	1981-01-01	65.0		Broderbund	Tony Suzuki		Floppy Disk					1981	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Arcade shooter
147	Alkemstone	Apple II	1981-01-01	65.0		Level-10		maze video game	Floppy Disk					1981	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
148	Apple Panic	Apple II	1981-01-01	65.0		Broderbund	Ben Serki	puzzle video game	Floppy Disk					1981	https://en.wikipedia.org/wiki/List_of_Apple_II_games	
